CÓDIGOS DIVIPOLA;(00 a 04);(05 a 09);(10 a 14);(15 a 17);(18 a 19);(20 a 24);(25 a 29);(30 a 34);(35 a 39);(40 a 44);(45 a 49);(50 a 54);(55 a 59);(60 a 64);(65 a 69);(70 a 74);(75 a 79);(80 y más);TOTAL
20045; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 4 
20060; -   ; -   ; -   ; -   ; 3 ; 1 ; -   ; 2 ; 2 ; 1 ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 11 
20175; 1 ; -   ; 1 ; -   ; -   ; -   ; 2 ; 1 ; 2 ; 1 ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; 10 
20178; -   ; -   ; 1 ; -   ; -   ; 3 ; -   ; 3 ; 1 ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 
20228; -   ; -   ; -   ; -   ; 1 ; -   ; 3 ; -   ; 1 ; -   ; 1 ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; 8 
20238; -   ; -   ; 1 ; -   ; -   ; 1 ; 1 ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 
20250; -   ; -   ; -   ; -   ; -   ; 3 ; -   ; 2 ; 1 ; 2 ; -   ; -   ; -   ; 1 ; 1 ; -   ; 1 ; -   ; 11 
20295; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
20310; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 1 
20383; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; 2 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 5 
20400; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; 3 ; 1 ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 8 
20621; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 3 
20443; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 2 
20517; -   ; -   ; -   ; -   ; -   ; 1 ; 2 ; 1 ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6 
20550; -   ; -   ; -   ; 1 ; -   ; 2 ; -   ; 1 ; 1 ; 1 ; -   ; 1 ; 1 ; 2 ; -   ; -   ; -   ; -   ; 10 
20570; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
20614; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 3 
20710; -   ; -   ; -   ; -   ; -   ; 1 ; 2 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 
20750; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
20770; -   ; -   ; -   ; -   ; -   ; -   ; 3 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 
20787; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 4 
20001; 2 ; -   ; -   ; -   ; 6 ; 9 ; 14 ; 15 ; 6 ; 3 ; 4 ; 2 ; 1 ; 1 ; -   ; -   ; -   ; -   ; 63 
27006; -   ; -   ; -   ; 1 ; 1 ; 1 ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 
27050; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 
27075; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
27099; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 
27150; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; 1 ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; 5 
27135; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
27245; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 
27361; -   ; -   ; -   ; -   ; 1 ; 1 ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 5 
27413; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 1 
27425; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 5 
27430; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
27450; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 
27491; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
27495; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
27001; -   ; 1 ; 1 ; 12 ; 16 ; 26 ; 37 ; 31 ; 15 ; 6 ; 2 ; 4 ; 3 ; -   ; -   ; -   ; -   ; -   ; 154 
27600; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 
27615; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; 2 ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 6 
27660; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; 3 
27800; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
27810; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
23090; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
23162; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 4 
23168; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
23182; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; 4 
23300; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; 3 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6 
23350; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 4 
23417; -   ; -   ; -   ; -   ; -   ; 1 ; 4 ; 2 ; 4 ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 13 
23419; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 
23464; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; 1 ; 1 ; -   ; -   ; -   ; -   ; 4 
23466; -   ; -   ; 1 ; -   ; 1 ; 18 ; 8 ; 8 ; 4 ; 3 ; 1 ; 1 ; 3 ; 1 ; -   ; -   ; -   ; -   ; 49 
23001; -   ; -   ; -   ; 1 ; 1 ; 14 ; 19 ; 14 ; 10 ; 5 ; 5 ; 4 ; -   ; 1 ; -   ; 1 ; -   ; -   ; 75 
23500; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
23555; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 2 
23570; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
23574; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
23580; -   ; 1 ; -   ; -   ; 2 ; 4 ; 3 ; 2 ; 3 ; 1 ; 1 ; 2 ; 1 ; -   ; -   ; -   ; -   ; -   ; 20 
23586; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
23660; -   ; -   ; -   ; -   ; -   ; 2 ; 1 ; 2 ; 6 ; 3 ; -   ; 3 ; -   ; 2 ; 1 ; -   ; -   ; -   ; 20 
23670; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
23672; -   ; -   ; -   ; 1 ; -   ; 1 ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 
23678; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
23682; -   ; -   ; 1 ; 1 ; -   ; -   ; 1 ; 1 ; 3 ; 1 ; 3 ; -   ; -   ; 1 ; 2 ; -   ; -   ; -   ; 14 
23686; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
23807; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; 1 ; -   ; -   ; 2 ; 1 ; -   ; -   ; -   ; -   ; -   ; 6 
23815; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
25001; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
25019; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
25599; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 3 
25053; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
25123; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
25126; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 
25151; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
25175; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; 1 ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 5 
25178; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 
25183; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
25214; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
25245; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
25260; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
25269; 1 ; -   ; -   ; -   ; -   ; 1 ; 4 ; 2 ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 10 
25279; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
25286; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
25290; -   ; -   ; -   ; 2 ; 1 ; 1 ; 2 ; 1 ; 3 ; 1 ; 1 ; 1 ; 2 ; 1 ; -   ; -   ; -   ; -   ; 16 
25295; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 
25307; -   ; -   ; -   ; 2 ; 5 ; 6 ; 8 ; 2 ; 2 ; 1 ; 2 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 29 
25312; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
25317; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
25320; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 5 
25324; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
25335; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 3 
25386; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 
25394; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
25398; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
25402; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
25407; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
25430; -   ; -   ; -   ; -   ; -   ; 6 ; 1 ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 9 
25473; -   ; -   ; -   ; -   ; 4 ; 1 ; 3 ; 2 ; 2 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 1 ; 14 
25491; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
25513; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
25524; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
25530; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
25535; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; 2 
25572; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; 2 
25592; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
25594; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
25612; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
25658; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
25718; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 3 
25736; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
25740; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; 2 ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6 
25743; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 
25745; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
25754; 2 ; 1 ; 1 ; 12 ; 12 ; 29 ; 37 ; 20 ; 15 ; 8 ; 4 ; -   ; 4 ; 1 ; 2 ; -   ; -   ; -   ; 148 
25758; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
25769; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
25772; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
25799; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
25805; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 1 
25807; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 1 
25815; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 
25817; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
25862; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
25867; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 1 
25843; -   ; -   ; -   ; 1 ; 1 ; 1 ; 1 ; 2 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 7 
25871; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
25873; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
25875; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 
25878; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 1 
25885; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
25899; -   ; -   ; -   ; 2 ; 1 ; 1 ; 1 ; 2 ; 2 ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 11 
94001; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 
94663; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 1 
95015; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
95025; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
95200; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
95001; -   ; -   ; -   ; -   ; -   ; 4 ; 3 ; 1 ; 2 ; -   ; 2 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 13 
41006; -   ; -   ; -   ; 1 ; -   ; 4 ; 3 ; 2 ; 3 ; 3 ; 1 ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; 19 
41013; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
41016; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
41020; -   ; -   ; -   ; 2 ; 2 ; 1 ; 3 ; 3 ; 3 ; 2 ; 5 ; -   ; 1 ; -   ; 1 ; 1 ; -   ; -   ; 24 
41078; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
41132; -   ; -   ; 1 ; 1 ; -   ; 4 ; 2 ; 2 ; 1 ; 1 ; 2 ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; 16 
41206; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
41298; 1 ; -   ; -   ; -   ; -   ; 1 ; 2 ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6 
