CÓDIGOS DIVIPOLA;(00 a 04);(05 a 09);(10 a 14);(15 a 17);(18 a 19);(20 a 24);(25 a 29);(30 a 34);(35 a 39);(40 a 44);(45 a 49);(50 a 54);(55 a 59);(60 a 64);(65 a 69);(70 a 74);(75 a 79);(80 y más);TOTAL
41306; -   ; -   ; -   ; -   ; 1 ; 1 ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 5 
41319; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
41357; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 
41359; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 2 
41378; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
41396; -   ; -   ; -   ; -   ; -   ; 2 ; 1 ; 3 ; 1 ; -   ; 2 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 10 
41001; 1 ; -   ; 1 ; 3 ; 7 ; 11 ; 10 ; 9 ; 5 ; 6 ; 4 ; 4 ; 2 ; 6 ; 2 ; 2 ; -   ; 1 ; 74 
41503; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
41524; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 
41530; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
41548; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
41551; -   ; -   ; -   ; 2 ; 2 ; 10 ; 4 ; 3 ; 1 ; 5 ; 1 ; 3 ; 3 ; 1 ; -   ; 1 ; -   ; -   ; 36 
41615; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 2 ; 1 ; 1 ; -   ; -   ; -   ; -   ; 5 
41660; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
41668; -   ; -   ; 1 ; 1 ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 5 
41676; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
41770; -   ; -   ; -   ; 1 ; 1 ; 2 ; -   ; 1 ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 7 
41791; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 
41799; -   ; -   ; -   ; -   ; -   ; 4 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 
41801; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 2 
41885; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 
44035; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
44078; 1 ; -   ; -   ; -   ; -   ; 2 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; 10 
44090; -   ; -   ; -   ; -   ; -   ; 2 ; 1 ; 1 ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6 
44279; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 2 ; 1 ; 1 ; -   ; -   ; 1 ; 2 ; -   ; -   ; -   ; -   ; 8 
44378; -   ; -   ; -   ; -   ; 1 ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 
44430; -   ; 1 ; 2 ; 2 ; 7 ; 17 ; 14 ; 15 ; 10 ; 7 ; 8 ; 1 ; 2 ; -   ; 2 ; -   ; -   ; -   ; 88 
44560; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
44001; 1 ; -   ; -   ; 2 ; 3 ; 8 ; 7 ; 11 ; 2 ; 9 ; 3 ; 2 ; 3 ; 3 ; -   ; 1 ; -   ; -   ; 55 
44650; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 3 
44847; -   ; -   ; -   ; -   ; 1 ; 1 ; 2 ; 3 ; 3 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 
47030; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
47053; -   ; -   ; -   ; -   ; 2 ; 1 ; 4 ; 2 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 
47058; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 
47189; 1 ; -   ; -   ; 2 ; 1 ; 13 ; 8 ; 7 ; 6 ; 1 ; 3 ; 1 ; -   ; 2 ; -   ; -   ; -   ; -   ; 45 
47245; -   ; -   ; -   ; -   ; 1 ; 2 ; 2 ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 7 
47268; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 
47288; -   ; -   ; -   ; 1 ; 1 ; 3 ; 6 ; 2 ; 2 ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 17 
47318; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; 2 
47460; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 
47541; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
47551; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 ; 1 ; 1 ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; 7 
47555; -   ; -   ; -   ; -   ; -   ; 2 ; 2 ; 1 ; 1 ; -   ; 1 ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; 9 
47570; -   ; -   ; -   ; -   ; 1 ; 2 ; 2 ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 7 
47605; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
47660; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
47703; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
47707; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
47001; -   ; -   ; -   ; -   ; 6 ; 15 ; 32 ; 19 ; 25 ; 9 ; 7 ; 3 ; 4 ; 5 ; 1 ; 1 ; -   ; -   ; 127 
47745; -   ; -   ; -   ; -   ; 1 ; 2 ; -   ; 1 ; -   ; 1 ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; 7 
47980; -   ; -   ; -   ; 3 ; 2 ; 6 ; 5 ; 2 ; -   ; 3 ; 3 ; 3 ; 1 ; 1 ; 1 ; -   ; -   ; -   ; 30 
50006; -   ; -   ; -   ; 1 ; -   ; 7 ; 5 ; 2 ; 1 ; 1 ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 19 
50110; -   ; -   ; -   ; -   ; -   ; 1 ; 2 ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 
50124; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
50150; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 
50226; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
50251; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; 2 
50287; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; 2 
50313; -   ; -   ; -   ; -   ; 2 ; 6 ; 4 ; 2 ; 4 ; 1 ; 2 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 22 
50318; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; 2 ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6 
50350; -   ; -   ; -   ; -   ; -   ; 10 ; 6 ; 2 ; 4 ; 1 ; 2 ; 2 ; 1 ; -   ; 1 ; -   ; -   ; -   ; 29 
50325; 2 ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 5 
50330; -   ; -   ; -   ; -   ; -   ; 4 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 
50450; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 2 
50568; -   ; -   ; -   ; 1 ; 2 ; 1 ; 1 ; 1 ; 4 ; 4 ; 3 ; 2 ; 1 ; -   ; -   ; -   ; -   ; -   ; 20 
50577; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 
50573; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; -   ; 1 ; -   ; 1 ; 2 ; -   ; 1 ; -   ; -   ; -   ; 7 
50590; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
50606; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
50680; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 
50683; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; 1 ; -   ; -   ; 2 ; -   ; -   ; -   ; 5 
50689; -   ; -   ; -   ; -   ; 2 ; 5 ; 2 ; 1 ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 12 
50370; -   ; -   ; 1 ; -   ; -   ; -   ; 1 ; 3 ; 2 ; 2 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 
50001; -   ; -   ; 2 ; 5 ; 6 ; 26 ; 17 ; 8 ; 8 ; 8 ; 5 ; 6 ; 4 ; 2 ; 2 ; -   ; -   ; -   ; 99 
50711; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 7 ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; 10 
52019; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 1 
52022; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
52079; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; 2 ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6 
52110; -   ; -   ; -   ; -   ; -   ; -   ; 3 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 
52203; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 2 
52227; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
52250; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
52520; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 3 
52287; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
52323; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
52356; -   ; -   ; 1 ; 2 ; 1 ; 6 ; 10 ; 3 ; 4 ; 4 ; 3 ; 5 ; 1 ; -   ; 1 ; -   ; -   ; 1 ; 42 
52399; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
52405; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; 1 ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; 5 
52411; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
52427; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
52473; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
52490; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
52001; -   ; -   ; -   ; 2 ; 4 ; 7 ; 14 ; 8 ; 8 ; 3 ; 3 ; 4 ; 1 ; 5 ; -   ; -   ; 1 ; 1 ; 61 
52540; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 
52560; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
52612; -   ; -   ; -   ; -   ; 2 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 
52621; -   ; -   ; -   ; 1 ; -   ; -   ; 2 ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 
52678; -   ; -   ; -   ; -   ; 2 ; 4 ; 3 ; 2 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 12 
52835; -   ; -   ; 2 ; 10 ; 13 ; 55 ; 36 ; 24 ; 19 ; 17 ; 9 ; 8 ; 3 ; 2 ; 1 ; -   ; -   ; -   ; 199 
52693; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 2 
52683; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
52696; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 3 
52720; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
52788; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
52838; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
54003; -   ; -   ; -   ; -   ; 1 ; 3 ; 5 ; 2 ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 13 
54051; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
54109; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 
54174; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 2 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 4 
54206; -   ; -   ; -   ; 1 ; 2 ; 4 ; 5 ; 2 ; -   ; -   ; -   ; 1 ; -   ; 2 ; -   ; -   ; -   ; -   ; 17 
54001; 1 ; -   ; 1 ; 5 ; 11 ; 62 ; 64 ; 47 ; 22 ; 19 ; 13 ; 15 ; 7 ; 8 ; 2 ; 3 ; 3 ; 1 ; 284 
54245; -   ; -   ; -   ; -   ; -   ; 1 ; 4 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6 
54250; -   ; -   ; -   ; -   ; -   ; 2 ; 3 ; -   ; 3 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 10 
54261; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; 5 
54313; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
54344; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 
54347; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
54385; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
54398; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
54405; -   ; -   ; -   ; -   ; -   ; 1 ; 2 ; 4 ; -   ; 2 ; 1 ; -   ; 1 ; 1 ; 1 ; -   ; -   ; -   ; 13 
54498; -   ; -   ; 1 ; -   ; 1 ; 6 ; 11 ; 12 ; 1 ; 2 ; 3 ; 2 ; -   ; 1 ; -   ; -   ; -   ; -   ; 40 
54518; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 4 
54553; -   ; -   ; -   ; 1 ; 2 ; 6 ; 8 ; 3 ; 5 ; 2 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 28 
54670; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
54673; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
54720; 1 ; -   ; -   ; -   ; 1 ; 6 ; 4 ; 1 ; 3 ; 3 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 19 
54743; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 2 
54800; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 4 
54810; -   ; -   ; -   ; -   ; 3 ; 27 ; 15 ; 15 ; 5 ; 7 ; 7 ; -   ; 1 ; 3 ; -   ; -   ; -   ; -   ; 83 
54820; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 2 
54874; -   ; -   ; -   ; -   ; 5 ; 7 ; 12 ; 11 ; 5 ; 1 ; 2 ; -   ; 3 ; -   ; -   ; -   ; -   ; -   ; 46 
86001; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 3 ; -   ; -   ; 3 ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; 9 
86320; -   ; -   ; 1 ; -   ; 1 ; 2 ; 5 ; -   ; 2 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 12 
86568; -   ; -   ; -   ; 2 ; 1 ; 8 ; 9 ; 9 ; 5 ; 2 ; 2 ; 1 ; 3 ; -   ; -   ; -   ; -   ; -   ; 42 
86569; -   ; -   ; -   ; -   ; -   ; 1 ; 5 ; 3 ; 2 ; 1 ; 1 ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; 15 
86571; -   ; -   ; -   ; 1 ; -   ; -   ; 2 ; 3 ; 5 ; 4 ; 2 ; 3 ; -   ; -   ; 1 ; -   ; -   ; -   ; 21 
86573; -   ; -   ; 2 ; 2 ; 1 ; 2 ; 1 ; 3 ; 3 ; 4 ; 2 ; 2 ; 2 ; -   ; -   ; -   ; -   ; -   ; 24 
86757; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 2 ; -   ; 2 ; 1 ; -   ; -   ; -   ; -   ; -   ; 1 ; 7 
86760; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
86865; -   ; -   ; -   ; -   ; -   ; 5 ; 3 ; 1 ; -   ; -   ; 3 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 13 
86885; -   ; -   ; -   ; 3 ; -   ; 1 ; 1 ; 3 ; 1 ; 2 ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; 13 
63001; -   ; -   ; -   ; 1 ; 3 ; 18 ; 19 ; 12 ; 10 ; 4 ; 4 ; 2 ; 2 ; 3 ; 1 ; -   ; -   ; 2 ; 81 
63130; -   ; -   ; -   ; 1 ; -   ; 5 ; 5 ; 3 ; -   ; 2 ; -   ; -   ; 2 ; -   ; 2 ; -   ; -   ; -   ; 20 
63190; -   ; -   ; 1 ; 1 ; -   ; 4 ; 2 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 9 
63272; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 1 
63401; -   ; -   ; -   ; 1 ; 1 ; 7 ; 4 ; 1 ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 16 
63470; -   ; -   ; -   ; -   ; 3 ; 9 ; 4 ; 3 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 19 
63548; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
