 DIVIPOLA,"COMPORTAMIENTO DE LAS LESIONES NO FATALES POR VIOLENCIA INTRAFAMILIAR (VIF) EN COLOMBIA AÑO 2021

NÚMERO DE CASOS","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF)","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF).1","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF).2","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF).3","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF).4","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF).5","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF).6",VIOLENCIA ENTRE OTROS FAMILIARES (VIF),VIOLENCIA ENTRE OTROS FAMILIARES (VIF).1,VIOLENCIA ENTRE OTROS FAMILIARES (VIF).2,VIOLENCIA ENTRE OTROS FAMILIARES (VIF).3,VIOLENCIA ENTRE OTROS FAMILIARES (VIF).4,VIOLENCIA ENTRE OTROS FAMILIARES (VIF).5,VIOLENCIA ENTRE OTROS FAMILIARES (VIF).6,VIOLENCIA CONTRA EL ADULTO MAYOR (VIF),VIOLENCIA CONTRA EL ADULTO MAYOR (VIF).1,VIOLENCIA CONTRA EL ADULTO MAYOR (VIF).2,VIOLENCIA CONTRA EL ADULTO MAYOR (VIF).3,VIOLENCIA CONTRA EL ADULTO MAYOR (VIF).4,VIOLENCIA CONTRA EL ADULTO MAYOR (VIF).5,VIOLENCIA CONTRA EL ADULTO MAYOR (VIF).6,TOTAL,TOTAL.1,TOTAL.2,TOTAL.3,TOTAL.4,TOTAL.5,TOTAL.6
CÓDIGOS,SEXO,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL
N°,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,
91,Amazonas,15,-,15,15,-,15,30,-,19,19,-,23,23,42,-,3,3,-,1,1,4,15,22,37,15,24,39,76
91001,Leticia,15,-,15,14,-,14,29,-,18,18,-,23,23,41,-,3,3,-,1,1,4,15,21,36,14,24,38,74
91540,Puerto Nariño,-,-,-,1,-,1,1,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,1,-,1,2
5,Antioquia,289,-,289,329,-,329,618,-,513,513,-,990,990,1503,-,124,124,-,153,153,277,289,637,926,329,1143,1472,2398
5002,Abejorral,2,-,2,-,-,-,2,-,3,3,-,2,2,5,-,1,1,-,1,1,2,2,4,6,-,3,3,9
5030,Amagá,3,-,3,3,-,3,6,-,2,2,-,9,9,11,-,-,-,-,-,-,-,3,2,5,3,9,12,17
5031,Amalfi,1,-,1,-,-,-,1,-,-,-,-,2,2,2,-,-,-,-,-,-,-,1,-,1,-,2,2,3
5034,Andes,2,-,2,1,-,1,3,-,5,5,-,12,12,17,-,1,1,-,1,1,2,2,6,8,1,13,14,22
5040,Anorí,1,-,1,3,-,3,4,-,-,-,-,1,1,1,-,1,1,-,1,1,2,1,1,2,3,2,5,7
5045,Apartadó,2,-,2,4,-,4,6,-,5,5,-,6,6,11,-,-,-,-,-,-,-,2,5,7,4,6,10,17
5079,Barbosa,1,-,1,8,-,8,9,-,8,8,-,16,16,24,-,-,-,-,1,1,1,1,8,9,8,17,25,34
5088,Bello,24,-,24,15,-,15,39,-,25,25,-,57,57,82,-,6,6,-,7,7,13,24,31,55,15,64,79,134
5093,Betulia,-,-,-,1,-,1,1,-,-,-,-,4,4,4,-,1,1,-,-,-,1,-,1,1,1,4,5,6
5107,Briceño,1,-,1,-,-,-,1,-,1,1,-,-,-,1,-,-,-,-,-,-,-,1,1,2,-,-,-,2
5129,Caldas,2,-,2,13,-,13,15,-,16,16,-,17,17,33,-,1,1,-,6,6,7,2,17,19,13,23,36,55
5134,Campamento,1,-,1,-,-,-,1,-,-,-,-,1,1,1,-,-,-,-,-,-,-,1,-,1,-,1,1,2
5138,Cañasgordas,1,-,1,1,-,1,2,-,2,2,-,3,3,5,-,-,-,-,-,-,-,1,2,3,1,3,4,7
5150,Carolina,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1
5154,Caucasia,2,-,2,4,-,4,6,-,3,3,-,6,6,9,-,1,1,-,-,-,1,2,4,6,4,6,10,16
5172,Chigorodó,2,-,2,2,-,2,4,-,3,3,-,7,7,10,-,1,1,-,-,-,1,2,4,6,2,7,9,15
5190,Cisneros,1,-,1,-,-,-,1,-,-,-,-,1,1,1,-,-,-,-,-,-,-,1,-,1,-,1,1,2
5101,Ciudad Bolívar,2,-,2,1,-,1,3,-,2,2,-,2,2,4,-,1,1,-,-,-,1,2,3,5,1,2,3,8
5197,Cocorná,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
5206,Concepción,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1
5209,Concordia,1,-,1,-,-,-,1,-,-,-,-,2,2,2,-,-,-,-,-,-,-,1,-,1,-,2,2,3
5212,Copacabana,8,-,8,5,-,5,13,-,13,13,-,29,29,42,-,1,1,-,3,3,4,8,14,22,5,32,37,59
5234,Dabeiba,1,-,1,1,-,1,2,-,1,1,-,3,3,4,-,-,-,-,-,-,-,1,1,2,1,3,4,6
5237,Donmatías,1,-,1,-,-,-,1,-,-,-,-,2,2,2,-,-,-,-,-,-,-,1,-,1,-,2,2,3
5240,Ebéjico,1,-,1,1,-,1,2,-,-,-,-,2,2,2,-,1,1,-,-,-,1,1,1,2,1,2,3,5
5148,El Carmen de Viboral,5,-,5,4,-,4,9,-,7,7,-,9,9,16,-,1,1,-,-,-,1,5,8,13,4,9,13,26
5697,El Santuario,-,-,-,3,-,3,3,-,4,4,-,4,4,8,-,-,-,-,-,-,-,-,4,4,3,4,7,11
5264,Entrerríos,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1
5266,Envigado,2,-,2,9,-,9,11,-,20,20,-,32,32,52,-,7,7,-,7,7,14,2,27,29,9,39,48,77
5282,Fredonia,1,-,1,1,-,1,2,-,-,-,-,1,1,1,-,1,1,-,-,-,1,1,1,2,1,1,2,4
5306,Giraldo,1,-,1,2,-,2,3,-,1,1,-,1,1,2,-,-,-,-,1,1,1,1,1,2,2,2,4,6
5308,Girardota,1,-,1,1,-,1,2,-,7,7,-,4,4,11,-,4,4,-,-,-,4,1,11,12,1,4,5,17
5310,Gómez Plata,1,-,1,1,-,1,2,-,1,1,-,-,-,1,-,-,-,-,1,1,1,1,1,2,1,1,2,4
5313,Granada,-,-,-,-,-,-,-,-,1,1,-,1,1,2,-,-,-,-,-,-,-,-,1,1,-,1,1,2
5315,Guadalupe,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1,1,1,2,-,-,-,2
5318,Guarne,20,-,20,35,-,35,55,-,12,12,-,26,26,38,-,5,5,-,1,1,6,20,17,37,35,27,62,99
5321,Guatapé,1,-,1,1,-,1,2,-,-,-,-,2,2,2,-,-,-,-,-,-,-,1,-,1,1,2,3,4
5353,Hispania,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1
5360,Itagüí,17,-,17,13,-,13,30,-,26,26,-,58,58,84,-,4,4,-,9,9,13,17,30,47,13,67,80,127
5361,Ituango,2,-,2,1,-,1,3,-,-,-,-,1,1,1,-,-,-,-,-,-,-,2,-,2,1,1,2,4
5364,Jardín,1,-,1,2,-,2,3,-,4,4,-,4,4,8,-,2,2,-,1,1,3,1,6,7,2,5,7,14
5368,Jericó,2,-,2,1,-,1,3,-,2,2,-,6,6,8,-,-,-,-,-,-,-,2,2,4,1,6,7,11
5376,La Ceja,14,-,14,17,-,17,31,-,6,6,-,20,20,26,-,2,2,-,4,4,6,14,8,22,17,24,41,63
5380,La Estrella,1,-,1,2,-,2,3,-,7,7,-,18,18,25,-,2,2,-,2,2,4,1,9,10,2,20,22,32
5400,La Unión,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1
5440,Marinilla,-,-,-,1,-,1,1,-,1,1,-,1,1,2,-,-,-,-,-,-,-,-,1,1,1,1,2,3
5001,Medellín,122,-,122,136,-,136,258,-,245,245,-,496,496,741,-,61,61,-,87,87,148,122,306,428,136,583,719,1147
5467,Montebello,3,-,3,1,-,1,4,-,2,2,-,-,-,2,-,-,-,-,-,-,-,3,2,5,1,-,1,6
5480,Mutatá,1,-,1,-,-,-,1,-,1,1,-,-,-,1,-,-,-,-,-,-,-,1,1,2,-,-,-,2
5483,Nariño,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,1,1,-,-,-,1
5490,Necoclí,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
5541,Peñol,-,-,-,-,-,-,-,-,-,-,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,2,2,2
5579,Puerto Berrío,-,-,-,-,-,-,-,-,8,8,-,11,11,19,-,-,-,-,-,-,-,-,8,8,-,11,11,19
5591,Puerto Triunfo,-,-,-,2,-,2,2,-,1,1,-,2,2,3,-,-,-,-,-,-,-,-,1,1,2,2,4,5
5607,Retiro,1,-,1,-,-,-,1,-,7,7,-,5,5,12,-,2,2,-,-,-,2,1,9,10,-,5,5,15
5615,Rionegro,3,-,3,-,-,-,3,-,9,9,-,14,14,23,-,2,2,-,3,3,5,3,11,14,-,17,17,31
5631,Sabaneta,4,-,4,-,-,-,4,-,5,5,-,6,6,11,-,1,1,-,2,2,3,4,6,10,-,8,8,18
5642,Salgar,1,-,1,2,-,2,3,-,3,3,-,4,4,7,-,1,1,-,1,1,2,1,4,5,2,5,7,12
5647,San Andrés de Cuerquía,3,-,3,1,-,1,4,-,3,3,-,1,1,4,-,-,-,-,-,-,-,3,3,6,1,1,2,8
5649,San Carlos,1,-,1,-,-,-,1,-,2,2,-,3,3,5,-,-,-,-,-,-,-,1,2,3,-,3,3,6
5656,San Jerónimo,-,-,-,-,-,-,-,-,2,2,-,4,4,6,-,1,1,-,1,1,2,-,3,3,-,5,5,8
5660,San Luis,1,-,1,-,-,-,1,-,1,1,-,-,-,1,-,-,-,-,-,-,-,1,1,2,-,-,-,2
5664,San Pedro de los Milagros,1,-,1,1,-,1,2,-,2,2,-,12,12,14,-,-,-,-,-,-,-,1,2,3,1,12,13,16
5667,San Rafael,-,-,-,-,-,-,-,-,-,-,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,2,2,2
5670,San Roque,-,-,-,1,-,1,1,-,3,3,-,4,4,7,-,2,2,-,-,-,2,-,5,5,1,4,5,10
5674,San Vicente Ferrer,-,-,-,-,-,-,-,-,-,-,-,3,3,3,-,-,-,-,1,1,1,-,-,-,-,4,4,4
5679,Santa Bárbara,-,-,-,-,-,-,-,-,3,3,-,2,2,5,-,1,1,-,2,2,3,-,4,4,-,4,4,8
5042,Santa Fé de Antioquia,-,-,-,1,-,1,1,-,6,6,-,9,9,15,-,-,-,-,2,2,2,-,6,6,1,11,12,18
5686,Santa Rosa de Osos,-,-,-,-,-,-,-,-,1,1,-,1,1,2,-,-,-,-,-,-,-,-,1,1,-,1,1,2
5736,Segovia,1,-,1,-,-,-,1,-,1,1,-,1,1,2,-,1,1,-,-,-,1,1,2,3,-,1,1,4
5756,Sonsón,2,-,2,4,-,4,6,-,5,5,-,4,4,9,-,1,1,-,1,1,2,2,6,8,4,5,9,17
5761,Sopetrán,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,1,1,1,-,-,-,-,2,2,2
5790,Tarazá,1,-,1,-,-,-,1,-,1,1,-,1,1,2,-,-,-,-,-,-,-,1,1,2,-,1,1,3
5792,Tarso,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
5809,Titiribí,-,-,-,-,-,-,-,-,1,1,-,1,1,2,-,-,-,-,-,-,-,-,1,1,-,1,1,2
5819,Toledo,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1
5837,Turbo,1,-,1,2,-,2,3,-,1,1,-,7,7,8,-,1,1,-,2,2,3,1,2,3,2,9,11,14
5847,Urrao,2,-,2,2,-,2,4,-,2,2,-,4,4,6,-,-,-,-,1,1,1,2,2,4,2,5,7,11
5858,Vegachí,-,-,-,-,-,-,-,-,2,2,-,2,2,4,-,1,1,-,1,1,2,-,3,3,-,3,3,6
5861,Venecia,1,-,1,1,-,1,2,-,4,4,-,5,5,9,-,2,2,-,1,1,3,1,6,7,1,6,7,14
5885,Yalí,-,-,-,1,-,1,1,-,1,1,-,3,3,4,-,-,-,-,-,-,-,-,1,1,1,3,4,5
5887,Yarumal,6,-,6,14,-,14,20,-,2,2,-,3,3,5,-,1,1,-,1,1,2,6,3,9,14,4,18,27
5890,Yolombó,-,-,-,1,-,1,1,-,-,-,-,3,3,3,-,-,-,-,-,-,-,-,-,-,1,3,4,4
81,Arauca,39,-,39,42,-,42,81,-,32,32,-,54,54,86,-,11,11,-,5,5,16,39,43,82,42,59,101,183
81001,Arauca,17,-,17,23,-,23,40,-,16,16,-,31,31,47,-,10,10,-,2,2,12,17,26,43,23,33,56,99
81065,Arauquita,5,-,5,5,-,5,10,-,-,-,-,1,1,1,-,-,-,-,-,-,-,5,-,5,5,1,6,11
81300,Fortul,-,-,-,1,-,1,1,-,-,-,-,1,1,1,-,1,1,-,1,1,2,-,1,1,1,2,3,4
81591,Puerto Rondón,-,-,-,-,-,-,-,-,2,2,-,1,1,3,-,-,-,-,-,-,-,-,2,2,-,1,1,3
81736,Saravena,7,-,7,7,-,7,14,-,5,5,-,13,13,18,-,-,-,-,2,2,2,7,5,12,7,15,22,34
81794,Tame,10,-,10,6,-,6,16,-,9,9,-,7,7,16,-,-,-,-,-,-,-,10,9,19,6,7,13,32
88,"Archipiélago de San Andrés, Providencia y Santa Catalina",4,-,4,9,-,9,13,-,12,12,-,24,24,36,-,1,1,-,3,3,4,4,13,17,9,27,36,53
88001,San Andrés,4,-,4,9,-,9,13,-,12,12,-,24,24,36,-,1,1,-,3,3,4,4,13,17,9,27,36,53
8,Atlántico,76,-,76,65,-,65,141,-,201,201,-,339,339,540,-,66,66,-,53,53,119,76,267,343,65,392,457,800
8078,Baranoa,2,-,2,5,-,5,7,-,8,8,-,9,9,17,-,4,4,-,1,1,5,2,12,14,5,10,15,29
8001,Barranquilla,39,-,39,35,-,35,74,-,122,122,-,204,204,326,-,41,41,-,34,34,75,39,163,202,35,238,273,475
8137,Campo de la Cruz,-,-,-,-,-,-,-,-,2,2,-,-,-,2,-,-,-,-,-,-,-,-,2,2,-,-,-,2
8296,Galapa,3,-,3,-,-,-,3,-,6,6,-,8,8,14,-,1,1,-,1,1,2,3,7,10,-,9,9,19
8372,Juan de Acosta,-,-,-,-,-,-,-,-,1,1,-,1,1,2,-,-,-,-,-,-,-,-,1,1,-,1,1,2
8421,Luruaco,-,-,-,-,-,-,-,-,1,1,-,1,1,2,-,-,-,-,-,-,-,-,1,1,-,1,1,2
8433,Malambo,6,-,6,4,-,4,10,-,13,13,-,20,20,33,-,3,3,-,5,5,8,6,16,22,4,25,29,51
8436,Manatí,1,-,1,-,-,-,1,-,1,1,-,1,1,2,-,-,-,-,-,-,-,1,1,2,-,1,1,3
8520,Palmar de Varela,1,-,1,-,-,-,1,-,3,3,-,8,8,11,-,1,1,-,1,1,2,1,4,5,-,9,9,14
8558,Polonuevo,3,-,3,-,-,-,3,-,1,1,-,-,-,1,-,-,-,-,-,-,-,3,1,4,-,-,-,4
8560,Ponedera,-,-,-,-,-,-,-,-,5,5,-,6,6,11,-,-,-,-,1,1,1,-,5,5,-,7,7,12
8573,Puerto Colombia,-,-,-,-,-,-,-,-,5,5,-,4,4,9,-,1,1,-,-,-,1,-,6,6,-,4,4,10
8634,Sabanagrande,1,-,1,2,-,2,3,-,3,3,-,2,2,5,-,-,-,-,-,-,-,1,3,4,2,2,4,8
8638,Sabanalarga,5,-,5,1,-,1,6,-,6,6,-,8,8,14,-,3,3,-,-,-,3,5,9,14,1,8,9,23
8675,Santa Lucía,-,-,-,-,-,-,-,-,2,2,-,1,1,3,-,-,-,-,-,-,-,-,2,2,-,1,1,3
8685,Santo Tomás,1,-,1,-,-,-,1,-,1,1,-,2,2,3,-,1,1,-,-,-,1,1,2,3,-,2,2,5
8758,Soledad,14,-,14,18,-,18,32,-,18,18,-,63,63,81,-,11,11,-,10,10,21,14,29,43,18,73,91,134
8832,Tubará,-,-,-,-,-,-,-,-,3,3,-,1,1,4,-,-,-,-,-,-,-,-,3,3,-,1,1,4
11,"Bogotá, D.C.",824,-,824,885,-,885,1709,-,1119,1119,-,1803,1803,2922,-,242,242,-,261,261,503,824,1361,2185,885,2064,2949,5134
11001,"Bogotá, D.C.",824,-,824,885,-,885,1709,-,1119,1119,-,1803,1803,2922,-,242,242,-,261,261,503,824,1361,2185,885,2064,2949,5134
13,Bolívar,31,-,31,38,-,38,69,-,70,70,-,147,147,217,-,28,28,-,23,23,51,31,98,129,38,170,208,337
13052,Arjona,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
13140,Calamar,-,-,-,-,-,-,-,-,1,1,-,1,1,2,-,-,-,-,1,1,1,-,1,1,-,2,2,3
13001,Cartagena de Indias,26,-,26,24,-,24,50,-,53,53,-,121,121,174,-,19,19,-,21,21,40,26,72,98,24,142,166,264
13188,Cicuco,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,1,1,-,-,-,1,-,2,2,-,-,-,2
13222,Clemencia,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
13212,Córdoba,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,-,1,-,1,1,2
13244,El Carmen de Bolívar,-,-,-,4,-,4,4,-,1,1,-,2,2,3,-,2,2,-,-,-,2,-,3,3,4,2,6,9
13268,El Peñón,-,-,-,-,-,-,-,-,-,-,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,2,2,2
13430,Magangué,3,-,3,5,-,5,8,-,5,5,-,9,9,14,-,4,4,-,-,-,4,3,9,12,5,9,14,26
13433,Mahates,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
13442,María la Baja,-,-,-,1,-,1,1,-,1,1,-,3,3,4,-,-,-,-,-,-,-,-,1,1,1,3,4,5
13468,Mompós,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
13549,Pinillos,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1
13654,San Jacinto,-,-,-,1,-,1,1,-,1,1,-,1,1,2,-,-,-,-,-,-,-,-,1,1,1,1,2,3
13657,San Juan Nepomuceno,-,-,-,1,-,1,1,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,1,1,2,2
13667,San Martín de Loba,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
13670,San Pablo,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
13688,Santa Rosa del Sur,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
13744,Simití,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
13836,Turbaco,-,-,-,1,-,1,1,-,1,1,-,2,2,3,-,2,2,-,-,-,2,-,3,3,1,2,3,6
13838,Turbaná,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
13873,Villanueva,-,-,-,-,-,-,-,-,-,-,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,2,2,2
13894,Zambrano,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1
15,Boyacá,80,-,80,79,-,79,159,-,162,162,-,228,228,390,-,33,33,-,39,39,72,80,195,275,79,267,346,621
15047,Aquitania,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
15051,Arcabuco,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
15087,Belén,1,-,1,2,-,2,3,-,-,-,-,1,1,1,-,-,-,-,-,-,-,1,-,1,2,1,3,4
15162,Cerinza,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,1,1,1
15172,Chinavita,-,-,-,1,-,1,1,-,3,3,-,1,1,4,-,1,1,-,-,-,1,-,4,4,1,1,2,6
15176,Chiquinquirá,2,-,2,3,-,3,5,-,5,5,-,10,10,15,-,1,1,-,-,-,1,2,6,8,3,10,13,21
15232,Chíquiza,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
15185,Chitaraque,-,-,-,-,-,-,-,-,1,1,-,1,1,2,-,-,-,-,1,1,1,-,1,1,-,2,2,3
15187,Chivatá,2,-,2,2,-,2,4,-,1,1,-,5,5,6,-,-,-,-,-,-,-,2,1,3,2,5,7,10
15204,Cómbita,-,-,-,-,-,-,-,-,3,3,-,2,2,5,-,1,1,-,1,1,2,-,4,4,-,3,3,7
15223,Cubará,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1
15224,Cucaita,-,-,-,-,-,-,-,-,1,1,-,1,1,2,-,-,-,-,-,-,-,-,1,1,-,1,1,2
15226,Cuítiva,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
15238,Duitama,12,-,12,13,-,13,25,-,17,17,-,34,34,51,-,6,6,-,2,2,8,12,23,35,13,36,49,84
15296,Gámeza,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
15299,Garagoa,5,-,5,4,-,4,9,-,1,1,-,3,3,4,-,-,-,-,-,-,-,5,1,6,4,3,7,13
15322,Guateque,1,-,1,-,-,-,1,-,-,-,-,1,1,1,-,-,-,-,-,-,-,1,-,1,-,1,1,2
15380,La Capilla,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
15455,Miraflores,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,1,1,1
15469,Moniquirá,-,-,-,-,-,-,-,-,11,11,-,3,3,14,-,2,2,-,1,1,3,-,13,13,-,4,4,17
15476,Motavita,-,-,-,1,-,1,1,-,2,2,-,2,2,4,-,-,-,-,1,1,1,-,2,2,1,3,4,6
15480,Muzo,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
15491,Nobsa,-,-,-,-,-,-,-,-,2,2,-,1,1,3,-,1,1,-,2,2,3,-,3,3,-,3,3,6
15500,Oicatá,-,-,-,-,-,-,-,-,-,-,-,3,3,3,-,-,-,-,-,-,-,-,-,-,-,3,3,3
15507,Otanche,-,-,-,-,-,-,-,-,3,3,-,1,1,4,-,1,1,-,-,-,1,-,4,4,-,1,1,5
15516,Paipa,6,-,6,7,-,7,13,-,4,4,-,6,6,10,-,-,-,-,1,1,1,6,4,10,7,7,14,24
15542,Pesca,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,1,1,-,1,1,2,-,2,2,-,1,1,3
15572,Puerto Boyacá,2,-,2,6,-,6,8,-,1,1,-,9,9,10,-,1,1,-,1,1,2,2,2,4,6,10,16,20
15580,Quípama,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
15599,Ramiriquí,-,-,-,3,-,3,3,-,5,5,-,2,2,7,-,-,-,-,-,-,-,-,5,5,3,2,5,10
15638,Sáchica,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1
