 DIVIPOLA,"COMPORTAMIENTO DE LAS LESIONES NO FATALES POR VIOLENCIA INTRAFAMILIAR (VIF) EN COLOMBIA AÑO 2021
25488,Nilo,-,-,-,-,-,-,-,-,-,-,-,4,4,4,-,-,-,-,-,-,-,-,-,-,-,4,4,4
25489,Nimaima,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
25491,Nocaima,-,-,-,1,-,1,1,-,-,-,-,3,3,3,-,-,-,-,-,-,-,-,-,-,1,3,4,4
25513,Pacho,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
25524,Pandi,-,-,-,1,-,1,1,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,1,-,1,2
25530,Paratebueno,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,1,1,2,2
25535,Pasca,2,-,2,5,-,5,7,-,3,3,-,1,1,4,-,-,-,-,-,-,-,2,3,5,5,1,6,11
25580,Pulí,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
25592,Quebradanegra,-,-,-,-,-,-,-,-,-,-,-,3,3,3,-,-,-,-,-,-,-,-,-,-,-,3,3,3
25594,Quetame,2,-,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,2
25612,Ricaurte,2,-,2,1,-,1,3,-,1,1,-,6,6,7,-,1,1,-,-,-,1,2,2,4,1,6,7,11
25645,San Antonio del Tequendama,1,-,1,1,-,1,2,-,3,3,-,2,2,5,-,1,1,-,1,1,2,1,4,5,1,3,4,9
25649,San Bernardo,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1
25658,San Francisco,2,-,2,1,-,1,3,-,4,4,-,2,2,6,-,-,-,-,5,5,5,2,4,6,1,7,8,14
25718,Sasaima,1,-,1,1,-,1,2,-,3,3,-,1,1,4,-,-,-,-,-,-,-,1,3,4,1,1,2,6
25736,Sesquilé,4,-,4,2,-,2,6,-,3,3,-,3,3,6,-,-,-,-,-,-,-,4,3,7,2,3,5,12
25740,Sibaté,5,-,5,6,-,6,11,-,2,2,-,16,16,18,-,-,-,-,1,1,1,5,2,7,6,17,23,30
25743,Silvania,1,-,1,1,-,1,2,-,-,-,-,1,1,1,-,-,-,-,-,-,-,1,-,1,1,1,2,3
25745,Simijaca,1,-,1,2,-,2,3,-,1,1,-,-,-,1,-,-,-,-,-,-,-,1,1,2,2,-,2,4
25754,Soacha,45,-,45,47,-,47,92,-,91,91,-,132,132,223,-,16,16,-,12,12,28,45,107,152,47,144,191,343
25772,Suesca,1,-,1,6,-,6,7,-,1,1,-,4,4,5,-,1,1,-,-,-,1,1,2,3,6,4,10,13
25777,Supatá,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1
25779,Susa,-,-,-,1,-,1,1,-,1,1,-,-,-,1,-,2,2,-,2,2,4,-,3,3,1,2,3,6
25781,Sutatausa,1,-,1,-,-,-,1,-,-,-,-,1,1,1,-,-,-,-,-,-,-,1,-,1,-,1,1,2
25793,Tausa,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
25797,Tena,3,-,3,4,-,4,7,-,6,6,-,5,5,11,-,-,-,-,2,2,2,3,6,9,4,7,11,20
25799,Tenjo,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1
25805,Tibacuy,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1
25807,Tibirita,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
25815,Tocaima,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1
25817,Tocancipá,-,-,-,1,-,1,1,-,1,1,-,1,1,2,-,-,-,-,-,-,-,-,1,1,1,1,2,3
25841,Ubaque,1,-,1,1,-,1,2,-,1,1,-,3,3,4,-,-,-,-,-,-,-,1,1,2,1,3,4,6
25845,Une,1,-,1,-,-,-,1,-,-,-,-,1,1,1,-,-,-,-,1,1,1,1,-,1,-,2,2,3
25851,Útica,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,1,1,-,1,1,2,-,1,1,-,2,2,3
25862,Vergara,2,-,2,1,-,1,3,-,1,1,-,1,1,2,-,-,-,-,-,-,-,2,1,3,1,1,2,5
25867,Vianí,-,-,-,-,-,-,-,-,2,2,-,-,-,2,-,-,-,-,-,-,-,-,2,2,-,-,-,2
25843,Villa de San Diego de Ubaté,7,-,7,7,-,7,14,-,14,14,-,29,29,43,-,-,-,-,3,3,3,7,14,21,7,32,39,60
25873,Villapinzón,3,-,3,3,-,3,6,-,3,3,-,6,6,9,-,3,3,-,1,1,4,3,6,9,3,7,10,19
25875,Villeta,1,-,1,7,-,7,8,-,4,4,-,13,13,17,-,2,2,-,2,2,4,1,6,7,7,15,22,29
25878,Viotá,3,-,3,1,-,1,4,-,1,1,-,2,2,3,-,-,-,-,-,-,-,3,1,4,1,2,3,7
25885,Yacopí,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
25898,Zipacón,-,-,-,-,-,-,-,-,2,2,-,-,-,2,-,-,-,-,-,-,-,-,2,2,-,-,-,2
25899,Zipaquirá,10,-,10,5,-,5,15,-,13,13,-,25,25,38,-,1,1,-,3,3,4,10,14,24,5,28,33,57
94,Guainía,3,-,3,3,-,3,6,-,4,4,-,5,5,9,-,2,2,-,1,1,3,3,6,9,3,6,9,18
94343,Barranco Minas,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1
94001,Inírida,3,-,3,2,-,2,5,-,4,4,-,5,5,9,-,2,2,-,1,1,3,3,6,9,2,6,8,17
95,Guaviare,2,-,2,4,-,4,6,-,-,-,-,4,4,4,-,1,1,-,-,-,1,2,1,3,4,4,8,11
95001,San José del Guaviare,2,-,2,4,-,4,6,-,-,-,-,4,4,4,-,1,1,-,-,-,1,2,1,3,4,4,8,11
41,Huila,27,-,27,47,-,47,74,-,115,115,-,168,168,283,-,33,33,-,29,29,62,27,148,175,47,197,244,419
41006,Acevedo,1,-,1,1,-,1,2,-,2,2,-,1,1,3,-,-,-,-,-,-,-,1,2,3,1,1,2,5
41013,Agrado,-,-,-,-,-,-,-,-,1,1,-,1,1,2,-,-,-,-,-,-,-,-,1,1,-,1,1,2
41016,Aipe,1,-,1,2,-,2,3,-,-,-,-,2,2,2,-,-,-,-,-,-,-,1,-,1,2,2,4,5
41020,Algeciras,-,-,-,1,-,1,1,-,1,1,-,4,4,5,-,1,1,-,-,-,1,-,2,2,1,4,5,7
41078,Baraya,-,-,-,-,-,-,-,-,2,2,-,1,1,3,-,-,-,-,1,1,1,-,2,2,-,2,2,4
41132,Campoalegre,-,-,-,1,-,1,1,-,2,2,-,2,2,4,-,1,1,-,-,-,1,-,3,3,1,2,3,6
41206,Colombia,1,-,1,-,-,-,1,-,1,1,-,-,-,1,-,-,-,-,-,-,-,1,1,2,-,-,-,2
41298,Garzón,-,-,-,4,-,4,4,-,8,8,-,5,5,13,-,-,-,-,2,2,2,-,8,8,4,7,11,19
41306,Gigante,-,-,-,-,-,-,-,-,1,1,-,1,1,2,-,-,-,-,-,-,-,-,1,1,-,1,1,2
41319,Guadalupe,1,-,1,-,-,-,1,-,2,2,-,-,-,2,-,-,-,-,-,-,-,1,2,3,-,-,-,3
41357,Íquira,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
41359,Isnos,-,-,-,2,-,2,2,-,3,3,-,3,3,6,-,-,-,-,1,1,1,-,3,3,2,4,6,9
41378,La Argentina,-,-,-,-,-,-,-,-,-,-,-,3,3,3,-,1,1,-,-,-,1,-,1,1,-,3,3,4
41396,La Plata,1,-,1,2,-,2,3,-,6,6,-,9,9,15,-,2,2,-,-,-,2,1,8,9,2,9,11,20
41001,Neiva,14,-,14,22,-,22,36,-,44,44,-,85,85,129,-,18,18,-,19,19,37,14,62,76,22,104,126,202
41503,Oporapa,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
41524,Palermo,1,-,1,-,-,-,1,-,3,3,-,3,3,6,-,-,-,-,-,-,-,1,3,4,-,3,3,7
41530,Palestina,-,-,-,-,-,-,-,-,2,2,-,-,-,2,-,1,1,-,-,-,1,-,3,3,-,-,-,3
41548,Pital,-,-,-,-,-,-,-,-,-,-,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,2,2,2
41551,Pitalito,5,-,5,4,-,4,9,-,18,18,-,27,27,45,-,6,6,-,5,5,11,5,24,29,4,32,36,65
41615,Rivera,1,-,1,3,-,3,4,-,5,5,-,7,7,12,-,2,2,-,-,-,2,1,7,8,3,7,10,18
41660,Saladoblanco,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,1,1,-,-,-,1,-,2,2,-,-,-,2
41668,San Agustín,-,-,-,-,-,-,-,-,3,3,-,6,6,9,-,-,-,-,-,-,-,-,3,3,-,6,6,9
41676,Santa María,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
41770,Suaza,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1
41791,Tarqui,-,-,-,1,-,1,1,-,3,3,-,-,-,3,-,-,-,-,-,-,-,-,3,3,1,-,1,4
41797,Tesalia,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
41807,Timaná,1,-,1,1,-,1,2,-,2,2,-,3,3,5,-,-,-,-,1,1,1,1,2,3,1,4,5,8
41872,Villavieja,-,-,-,-,-,-,-,-,1,1,-,1,1,2,-,-,-,-,-,-,-,-,1,1,-,1,1,2
41885,Yaguará,-,-,-,2,-,2,2,-,1,1,-,1,1,2,-,-,-,-,-,-,-,-,1,1,2,1,3,4
44,La Guajira,25,-,25,22,-,22,47,-,36,36,-,59,59,95,-,8,8,-,5,5,13,25,44,69,22,64,86,155
44078,Barrancas,2,-,2,2,-,2,4,-,1,1,-,1,1,2,-,-,-,-,-,-,-,2,1,3,2,1,3,6
44090,Dibulla,1,-,1,-,-,-,1,-,1,1,-,3,3,4,-,2,2,-,-,-,2,1,3,4,-,3,3,7
44098,Distracción,1,-,1,1,-,1,2,-,1,1,-,3,3,4,-,1,1,-,-,-,1,1,2,3,1,3,4,7
44110,El Molino,-,-,-,-,-,-,-,-,-,-,-,3,3,3,-,-,-,-,-,-,-,-,-,-,-,3,3,3
44279,Fonseca,3,-,3,8,-,8,11,-,-,-,-,4,4,4,-,-,-,-,-,-,-,3,-,3,8,4,12,15
44378,Hatonuevo,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1
44430,Maicao,6,-,6,1,-,1,7,-,4,4,-,8,8,12,-,1,1,-,-,-,1,6,5,11,1,8,9,20
44001,Riohacha,9,-,9,7,-,7,16,-,21,21,-,34,34,55,-,4,4,-,5,5,9,9,25,34,7,39,46,80
44650,San Juan del Cesar,2,-,2,2,-,2,4,-,6,6,-,2,2,8,-,-,-,-,-,-,-,2,6,8,2,2,4,12
44874,Villanueva,-,-,-,1,-,1,1,-,2,2,-,1,1,3,-,-,-,-,-,-,-,-,2,2,1,1,2,4
47,Magdalena,43,-,43,47,-,47,90,-,121,121,-,192,192,313,-,22,22,-,21,21,43,43,143,186,47,213,260,446
47053,Aracataca,-,-,-,-,-,-,-,-,2,2,-,5,5,7,-,-,-,-,-,-,-,-,2,2,-,5,5,7
47058,Ariguaní,-,-,-,1,-,1,1,-,5,5,-,1,1,6,-,-,-,-,-,-,-,-,5,5,1,1,2,7
47161,Cerro de San Antonio,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
47189,Ciénaga,9,-,9,12,-,12,21,-,21,21,-,38,38,59,-,1,1,-,2,2,3,9,22,31,12,40,52,83
47245,El Banco,1,-,1,-,-,-,1,-,5,5,-,8,8,13,-,-,-,-,1,1,1,1,5,6,-,9,9,15
47258,El Piñón,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
47268,El Retén,-,-,-,-,-,-,-,-,2,2,-,3,3,5,-,-,-,-,-,-,-,-,2,2,-,3,3,5
47288,Fundación,3,-,3,1,-,1,4,-,1,1,-,14,14,15,-,2,2,-,1,1,3,3,3,6,1,15,16,22
47318,Guamal,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
47460,Nueva Granada,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
47541,Pedraza,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1
47551,Pivijay,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
47555,Plato,2,-,2,1,-,1,3,-,6,6,-,8,8,14,-,2,2,-,1,1,3,2,8,10,1,9,10,20
47570,Puebloviejo,-,-,-,2,-,2,2,-,5,5,-,4,4,9,-,-,-,-,-,-,-,-,5,5,2,4,6,11
47707,Santa Ana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,1,1,-,-,-,1
47001,Santa Marta,26,-,26,28,-,28,54,-,62,62,-,101,101,163,-,16,16,-,16,16,32,26,78,104,28,117,145,249
47745,Sitionuevo,-,-,-,1,-,1,1,-,1,1,-,1,1,2,-,-,-,-,-,-,-,-,1,1,1,1,2,3
47798,Tenerife,-,-,-,1,-,1,1,-,3,3,-,-,-,3,-,-,-,-,-,-,-,-,3,3,1,-,1,4
47980,Zona Bananera,1,-,1,-,-,-,1,-,4,4,-,8,8,12,-,-,-,-,-,-,-,1,4,5,-,8,8,13
50,Meta,121,-,121,126,-,126,247,-,86,86,-,179,179,265,-,13,13,-,21,21,34,121,99,220,126,200,326,546
50006,Acacías,8,-,8,10,-,10,18,-,12,12,-,14,14,26,-,1,1,-,1,1,2,8,13,21,10,15,25,46
50110,Barranca de Upía,4,-,4,2,-,2,6,-,-,-,-,4,4,4,-,-,-,-,-,-,-,4,-,4,2,4,6,10
50124,Cabuyaro,-,-,-,-,-,-,-,-,1,1,-,1,1,2,-,2,2,-,-,-,2,-,3,3,-,1,1,4
50150,Castilla la Nueva,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
50226,Cumaral,-,-,-,-,-,-,-,-,1,1,-,4,4,5,-,-,-,-,-,-,-,-,1,1,-,4,4,5
50245,El Calvario,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1
50251,El Castillo,1,-,1,1,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,1,2
50270,El Dorado,-,-,-,2,-,2,2,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,2,1,3,3
50287,Fuente de Oro,-,-,-,3,-,3,3,-,-,-,-,2,2,2,-,-,-,-,-,-,-,-,-,-,3,2,5,5
50313,Granada,2,-,2,4,-,4,6,-,1,1,-,5,5,6,-,1,1,-,1,1,2,2,2,4,4,6,10,14
50318,Guamal,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
50350,La Macarena,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1
50325,Mapiripán,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
50330,Mesetas,-,-,-,-,-,-,-,-,-,-,-,4,4,4,-,-,-,-,-,-,-,-,-,-,-,4,4,4
50450,Puerto Concordia,1,-,1,1,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,1,2
50568,Puerto Gaitán,-,-,-,1,-,1,1,-,1,1,-,1,1,2,-,-,-,-,-,-,-,-,1,1,1,1,2,3
50577,Puerto Lleras,3,-,3,1,-,1,4,-,-,-,-,2,2,2,-,-,-,-,-,-,-,3,-,3,1,2,3,6
50573,Puerto López,8,-,8,12,-,12,20,-,1,1,-,11,11,12,-,-,-,-,1,1,1,8,1,9,12,12,24,33
50606,Restrepo,3,-,3,1,-,1,4,-,2,2,-,6,6,8,-,1,1,-,2,2,3,3,3,6,1,8,9,15
50683,San Juan de Arama,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,1,1,1,-,-,-,-,2,2,2
50370,Uribe,-,-,-,1,-,1,1,-,2,2,-,3,3,5,-,-,-,-,-,-,-,-,2,2,1,3,4,6
50001,Villavicencio,91,-,91,85,-,85,176,-,63,63,-,116,116,179,-,8,8,-,15,15,23,91,71,162,85,131,216,378
50711,Vistahermosa,-,-,-,-,-,-,-,-,1,1,-,2,2,3,-,-,-,-,-,-,-,-,1,1,-,2,2,3
52,Nariño,20,-,20,30,-,30,50,-,52,52,-,134,134,186,-,16,16,-,22,22,38,20,68,88,30,156,186,274
52022,Aldana,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
52240,Chachagüí,-,-,-,-,-,-,-,-,1,1,-,5,5,6,-,-,-,-,-,-,-,-,1,1,-,5,5,6
52207,Consacá,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1
52227,Cumbal,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
52254,El Peñol,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
52258,El Tablón de Gómez,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
52260,El Tambo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,1,1,1
52520,Francisco Pizarro,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1
52287,Funes,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
52317,Guachucal,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
52352,Iles,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1
52356,Ipiales,5,-,5,4,-,4,9,-,9,9,-,10,10,19,-,1,1,-,3,3,4,5,10,15,4,13,17,32
52381,La Florida,3,-,3,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,1,1,1,3,-,3,-,1,1,4
52418,Los Andes,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
52480,Nariño,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,1,1,-,-,-,1,-,1,1,-,1,1,2
52001,Pasto,4,-,4,15,-,15,19,-,28,28,-,75,75,103,-,11,11,-,13,13,24,4,39,43,15,88,103,146
52540,Policarpa,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
52560,Potosí,-,-,-,-,-,-,-,-,1,1,-,2,2,3,-,-,-,-,-,-,-,-,1,1,-,2,2,3
52585,Pupiales,-,-,-,1,-,1,1,-,1,1,-,3,3,4,-,1,1,-,-,-,1,-,2,2,1,3,4,6
52612,Ricaurte,-,-,-,1,-,1,1,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,1,1,2,2
52835,San Andrés de Tumaco,3,-,3,8,-,8,11,-,5,5,-,22,22,27,-,2,2,-,4,4,6,3,7,10,8,26,34,44
52685,San Bernardo,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
52687,San Lorenzo,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
52693,San Pablo,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1
52683,Sandoná,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
52699,Santacruz,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
52786,Taminango,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
52788,Tangua,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
52838,Túquerres,1,-,1,-,-,-,1,-,1,1,-,4,4,5,-,-,-,-,-,-,-,1,1,2,-,4,4,6
52885,Yacuanquer,1,-,1,-,-,-,1,-,1,1,-,2,2,3,-,-,-,-,-,-,-,1,1,2,-,2,2,4
54,Norte de Santander,37,-,37,54,-,54,91,-,120,120,-,195,195,315,-,20,20,-,30,30,50,37,140,177,54,225,279,456
54003,Ábrego,1,-,1,3,-,3,4,-,1,1,-,8,8,9,-,-,-,-,-,-,-,1,1,2,3,8,11,13
54051,Arboledas,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
54099,Bochalema,-,-,-,-,-,-,-,-,3,3,-,2,2,5,-,1,1,-,-,-,1,-,4,4,-,2,2,6
54128,Cáchira,-,-,-,-,-,-,-,-,2,2,-,2,2,4,-,-,-,-,1,1,1,-,2,2,-,3,3,5
54125,Cácota,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
54172,Chinácota,-,-,-,-,-,-,-,-,2,2,-,1,1,3,-,1,1,-,-,-,1,-,3,3,-,1,1,4
54174,Chitagá,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
54206,Convención,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
54001,Cúcuta,16,-,16,37,-,37,53,-,59,59,-,100,100,159,-,11,11,-,17,17,28,16,70,86,37,117,154,240
54223,Cucutilla,1,-,1,-,-,-,1,-,-,-,-,2,2,2,-,-,-,-,-,-,-,1,-,1,-,2,2,3
54261,El Zulia,-,-,-,-,-,-,-,-,1,1,-,4,4,5,-,-,-,-,-,-,-,-,1,1,-,4,4,5
54385,La Esperanza,1,-,1,-,-,-,1,-,2,2,-,2,2,4,-,-,-,-,-,-,-,1,2,3,-,2,2,5
54377,Labateca,-,-,-,-,-,-,-,-,1,1,-,1,1,2,-,1,1,-,-,-,1,-,2,2,-,1,1,3
54405,Los Patios,2,-,2,1,-,1,3,-,15,15,-,15,15,30,-,1,1,-,1,1,2,2,16,18,1,16,17,35
54418,Lourdes,-,-,-,-,-,-,-,-,1,1,-,1,1,2,-,-,-,-,1,1,1,-,1,1,-,2,2,3
54480,Mutiscua,-,-,-,-,-,-,-,-,-,-,-,3,3,3,-,-,-,-,-,-,-,-,-,-,-,3,3,3
54498,Ocaña,3,-,3,4,-,4,7,-,8,8,-,16,16,24,-,-,-,-,4,4,4,3,8,11,4,20,24,35
54518,Pamplona,7,-,7,5,-,5,12,-,9,9,-,23,23,32,-,2,2,-,4,4,6,7,11,18,5,27,32,50
54520,Pamplonita,-,-,-,1,-,1,1,-,2,2,-,-,-,2,-,-,-,-,1,1,1,-,2,2,1,1,2,4
54599,Ragonvalia,1,-,1,1,-,1,2,-,-,-,-,3,3,3,-,1,1,-,-,-,1,1,1,2,1,3,4,6
54673,San Cayetano,-,-,-,-,-,-,-,-,2,2,-,1,1,3,-,-,-,-,-,-,-,-,2,2,-,1,1,3
54720,Sardinata,-,-,-,-,-,-,-,-,1,1,-,1,1,2,-,-,-,-,-,-,-,-,1,1,-,1,1,2
54743,Silos,1,-,1,1,-,1,2,-,2,2,-,1,1,3,-,-,-,-,-,-,-,1,2,3,1,1,2,5
54800,Teorama,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
54820,Toledo,-,-,-,-,-,-,-,-,2,2,-,3,3,5,-,1,1,-,-,-,1,-,3,3,-,3,3,6
54874,Villa del Rosario,4,-,4,1,-,1,5,-,3,3,-,5,5,8,-,1,1,-,1,1,2,4,4,8,1,6,7,15
86,Putumayo,15,-,15,14,-,14,29,-,13,13,-,46,46,59,-,2,2,-,4,4,6,15,15,30,14,50,64,94
86001,Mocoa,3,-,3,6,-,6,9,-,2,2,-,15,15,17,-,1,1,-,1,1,2,3,3,6,6,16,22,28
86320,Orito,-,-,-,-,-,-,-,-,1,1,-,2,2,3,-,1,1,-,-,-,1,-,2,2,-,2,2,4
86568,Puerto Asís,7,-,7,3,-,3,10,-,6,6,-,18,18,24,-,-,-,-,-,-,-,7,6,13,3,18,21,34
86569,Puerto Caicedo,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,-,1,-,1,1,2
86573,Puerto Leguízamo,-,-,-,2,-,2,2,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,2,1,3,3
86755,San Francisco,-,-,-,1,-,1,1,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,1,1,2,2
86760,Santiago,-,-,-,-,-,-,-,-,1,1,-,2,2,3,-,-,-,-,-,-,-,-,1,1,-,2,2,3
86749,Sibundoy,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
86865,Valle del Guamuez,2,-,2,1,-,1,3,-,1,1,-,7,7,8,-,-,-,-,2,2,2,2,1,3,1,9,10,13
