 DIVIPOLA,"HOMICIDIOS EN COLOMBIA AÑO 2020

CASOS Y TASAS X 100.00 HABITANTES",VIOLENTA - HOMICIDIO (CASOS),VIOLENTA - HOMICIDIO (CASOS).1,VIOLENTA - HOMICIDIO (CASOS).2,VIOLENTA - HOMICIDIO (CASOS).3,VIOLENTA - HOMICIDIO (CASOS).4,VIOLENTA - HOMICIDIO (CASOS).5,VIOLENTA - HOMICIDIO (CASOS).6,VIOLENTA - HOMICIDIO (CASOS).7,VIOLENTA - HOMICIDIO (CASOS).8,VIOLENTA - HOMICIDIO (CASOS).9,VIOLENTA - HOMICIDIO (TASAS),VIOLENTA - HOMICIDIO (TASAS).1,VIOLENTA - HOMICIDIO (TASAS).2,VIOLENTA - HOMICIDIO (TASAS).3,VIOLENTA - HOMICIDIO (TASAS).4,VIOLENTA - HOMICIDIO (TASAS).5,VIOLENTA - HOMICIDIO (TASAS).6,VIOLENTA - HOMICIDIO (TASAS).7,VIOLENTA - HOMICIDIO (TASAS).8,VIOLENTA - HOMICIDIO (TASAS).9
CÓDIGOS,SEXO,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre (Tasa x 100.000 Hab.),Hombre (Tasa x 100.000 Hab.),HOMBRE (TASA X 100.000 HAB.),Mujer (Tasa x 100.000 Hab.),Mujer (Tasa x 100.000 Hab.),MUJER (TASA X 100.000 HAB.),Indeterminado (Tasa x 100.000 Hab.),Indeterminado (Tasa x 100.000 Hab.),INDETERMINADO (TASA X 100.000 HAB.),TOTAL
N°,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,(TASA X 100.000 HAB.)
91,Amazonas,-,11,11,-,2,2,-,-,-,13,0,46.545085262133455,26.80638479346899,0,9.263977025336978,5.2652362774779515,-,-,-,16.45153125790939
91405,La Chorrera,-,1,1,-,-,-,-,-,-,1,0,128.53470437017995,60.49606775559589,0,0,0,-,-,-,33.840947546531304
91001,Leticia,-,10,10,-,2,2,-,-,-,12,0,65.54368486596316,39.237228282194145,0,13.75232070411882,8.247082594532184,-,-,-,24.126907533626877
5,Antioquia,96,1607,1703,17,119,136,-,1,1,1840,10.939323220536757,68.37000296964916,52.75689634555488,2.024554270559051,4.558993956459692,3.942124967680373,-,-,-,27.553448448845675
5002,Abejorral,-,4,4,-,1,1,-,-,-,5,0,51.43371480005143,37.885963250615646,0,13.917884481558804,10.278548668927948,-,-,-,24.646325232907778
5030,Amagá,1,17,18,-,-,-,-,-,-,18,25.393600812595224,148.54945823138763,117.01989338187492,0,0,0,-,-,-,57.539238564076335
5031,Amalfi,-,5,5,-,1,1,-,-,-,6,0,54.46623093681918,36.83783982907242,0,10.755001075500108,7.408504963698325,-,-,-,22.163939270806395
5034,Andes,3,36,39,1,1,2,-,-,-,41,48.72502842293324,214.96387412670924,170.27593433461405,17.89869339538214,6.366182836771071,9.39187602723644,-,-,-,92.76227968958574
5036,Angelópolis,-,5,5,-,1,1,-,-,-,6,0,234.192037470726,170.29972752043597,0,46.18937644341801,34.42340791738383,-,-,-,102.7221366204417
5038,Angostura,-,7,7,-,-,-,-,-,-,7,0,177.9359430604982,120.06861063464838,0,0,0,-,-,-,60.679611650485434
5040,Anorí,1,18,19,-,1,1,-,-,-,20,28.264556246466928,278.89680818097304,190.15212169735787,0,17.382235355466715,10.974539069359087,-,-,-,104.69011725293132
5044,Anzá,-,2,2,-,-,-,-,-,-,2,0,80.38585209003216,54.06866720735334,0,0,0,-,-,-,27.897893709024967
5045,Apartadó,1,11,12,-,2,2,-,-,-,14,4.586735161911751,27.04829349857382,19.209220425804386,0,4.497919712133138,3.064007108496492,-,-,-,10.95941883767535
5051,Arboletes,-,1,1,-,-,-,-,-,-,1,0,10.787486515641856,6.545359340227778,0,0,0,-,-,-,3.2776138970829236
5055,Argelia,-,2,2,-,-,-,-,-,-,2,0,79.05138339920948,51.4668039114771,0,0,0,-,-,-,26.50762094102054
5059,Armenia,-,1,1,-,-,-,-,-,-,1,0,51.5729757607014,39.55696202531645,0,0,0,-,-,-,19.708316909735906
5079,Barbosa,2,28,30,-,1,1,-,-,-,31,30.326004548900684,137.24144691696893,111.123458162018,0,4.770992366412214,3.656307129798903,-,-,-,57.04086702117872
5088,Bello,5,93,98,1,14,15,-,-,-,113,7.426661715558857,46.75998551948836,36.81262748250461,1.5394325651564833,6.335357630938266,5.245837428000881,-,-,-,20.46530496926582
5086,Belmira,1,-,1,-,-,-,-,-,-,1,100,0,32.39390994493035,0,0,0,-,-,-,16.350555918901243
5091,Betania,1,36,37,-,2,2,-,-,-,39,62.38303181534623,963.3395772009633,692.8838951310861,0,58.78894767783657,40.45307443365696,-,-,-,379.2298716452742
5093,Betulia,-,15,15,-,1,1,-,-,-,16,0,275.8367046708349,184.5926655180901,0,18.98614011771407,12.87001287001287,-,-,-,100.65425264217413
5107,Briceño,-,3,3,-,-,-,-,-,-,3,0,111.89854531891085,70.6880301602262,0,0,0,-,-,-,36.94581280788178
5113,Buriticá,-,2,2,-,-,-,-,-,-,2,0,58.496636443404505,39.880358923230304,0,0,0,-,-,-,20.759809009757113
5120,Cáceres,2,55,57,2,3,5,-,-,-,62,29.976019184652277,601.9481230163074,360.5541147447656,33.61909564632712,34.89183531053733,34.3713480442703,-,-,-,204.24298326525235
5129,Caldas,-,16,16,-,-,-,-,-,-,16,0,51.53642981382465,40.130423877602205,0,0,0,-,-,-,19.17936300540618
5134,Campamento,1,3,4,-,-,-,-,-,-,4,58.5480093676815,97.91122715404698,83.82229673093043,0,0,0,-,-,-,43.27599264308125
5138,Cañasgordas,-,7,7,-,1,1,-,-,-,8,0,127.59752096244986,89.29710422247736,0,18.66368047779022,12.96512381693245,-,-,-,51.440329218107
5147,Carepa,1,8,9,-,-,-,-,-,-,9,10.538518284329223,50.12217279619072,35.36345776031434,0,0,0,-,-,-,17.597716207496628
5154,Caucasia,5,67,72,3,8,11,-,-,-,83,29.20560747663551,229.13033070004448,155.302948599038,18.04294220244181,24.66167267794938,22.418782863897608,-,-,-,86.9774801680866
5172,Chigorodó,3,28,31,-,2,2,-,-,-,33,27.097823141540964,157.3298870596168,107.3853401690453,0,9.818842358485934,6.458279514337381,-,-,-,55.15074537067986
5190,Cisneros,-,1,1,-,-,-,-,-,-,1,0,28.71912693854107,21.114864864864867,0,0,0,-,-,-,10.064412238325282
5101,Ciudad Bolívar,4,35,39,1,5,6,-,-,-,45,106.49627263045794,372.4989357173265,296.53284671532845,28.843380444188057,51.57829585310501,45.589240939138364,-,-,-,171.01812792155968
5197,Cocorná,-,3,3,-,-,-,-,-,-,3,0,59.60659646334195,41.135335252982316,0,0,0,-,-,-,20.225173599406727
5206,Concepción,-,2,2,-,-,-,-,-,-,2,0,113.18619128466328,81.36696501220504,0,0,0,-,-,-,42.034468263976464
5209,Concordia,1,9,10,-,-,-,-,-,-,10,31.94888178913738,116.74665974834609,92.25943352707814,0,0,0,-,-,-,46.108447067502766
5212,Copacabana,-,17,17,-,2,2,-,-,-,19,0,55.24861878453039,42.804985521843136,0,5.962673662870431,4.750029687685548,-,-,-,23.221706184307017
5234,Dabeiba,-,15,15,-,-,-,-,-,-,15,0,218.6588921282799,125.92343854936198,0,0,0,-,-,-,63.80535114211579
5237,Donmatías,-,2,2,-,-,-,-,-,-,2,0,31.481189988981583,21.732043898728676,0,0,0,-,-,-,10.147648282510529
5240,Ebéjico,-,5,5,-,1,1,-,-,-,6,0,106.22477161674102,81.02414519526819,0,21.968365553602812,16.77008217340265,-,-,-,49.447832536673815
5250,El Bagre,1,13,14,-,1,1,-,-,-,15,9.075233687267447,83.0140485312899,52.47572997488662,0,6.076441635778088,3.68093643022785,-,-,-,27.857222449207
5148,El Carmen de Viboral,-,21,21,-,1,1,-,-,-,22,0,95.35485628660946,67.95236862542066,0,4.347448047995827,3.156864602077217,-,-,-,35.15443984595964
5697,El Santuario,-,6,6,-,-,-,-,-,-,6,0,52.52100840336134,34.48870494912916,0,0,0,-,-,-,16.391203387515365
5266,Envigado,-,5,5,-,2,2,-,-,-,7,0,5.552532510077847,4.484224498215278,0,1.810561002326571,1.5302804238876775,-,-,-,2.8902092098580905
5282,Fredonia,1,5,6,-,1,1,-,-,-,7,35.05082369435682,52.14308061320263,48.223758238225365,0,10.583130489998942,8.122157244964262,-,-,-,28.27825805930355
5284,Frontino,-,6,6,1,-,1,-,-,-,7,0,93.61834919644251,57.954216169226314,26.867275658248257,0,9.664637092877163,-,-,-,33.81642512077295
5306,Giraldo,-,1,1,-,-,-,-,-,-,1,0,50.175614651279474,33.97893306150187,0,0,0,-,-,-,17.39130434782609
5308,Girardota,-,12,12,-,-,-,-,-,-,12,0,59.532668551867836,44.965713643346945,0,0,0,-,-,-,22.04302062859347
5310,Gómez Plata,-,3,3,-,-,-,-,-,-,3,0,82.14676889375684,60.679611650485434,0,0,0,-,-,-,30.23888720895071
5315,Guadalupe,-,1,1,-,-,-,-,-,-,1,0,42.22972972972973,29.481132075471695,0,0,0,-,-,-,15.003750937734434
5318,Guarne,-,9,9,-,-,-,-,-,-,9,0,41.68403501458941,31.19908482684508,0,0,0,-,-,-,15.47481903058856
5321,Guatapé,-,3,3,-,-,-,-,-,-,3,0,94.5179584120983,70.45561296383278,0,0,0,-,-,-,34.44712366517396
5347,Heliconia,-,5,5,-,-,-,-,-,-,5,0,231.37436372049976,177.61989342806396,0,0,0,-,-,-,92.67840593141798
5353,Hispania,-,4,4,-,-,-,-,-,-,4,0,195.21717911176185,143.47202295552367,0,0,0,-,-,-,71.54355213736362
5360,Itagüí,3,40,43,-,2,2,-,-,-,45,9.652820232311207,37.362575775974,31.128291997857215,0,1.6354968230474214,1.317037193130334,-,-,-,15.517562432326185
5361,Ituango,3,43,46,-,3,3,-,-,-,49,73.87343018960847,332.5599381283836,270.7315637690542,0,42.631803325280664,27.782922763474716,-,-,-,176.3287631796754
5364,Jardín,-,5,5,-,1,1,-,-,-,6,0,92.04712812960236,67.74149844194554,0,17.65536723163842,13.424620754463685,-,-,-,40.45853000674309
5368,Jericó,-,4,4,-,1,1,-,-,-,5,0,77.02676680146351,58.771672054069946,0,18.68460388639761,14.492753623188406,-,-,-,36.480373559025246
5376,La Ceja,1,3,4,-,-,-,-,-,-,4,12.177301509985387,12.057393191591979,12.087148339527998,0,0,0,-,-,-,5.854372484449323
5380,La Estrella,-,10,10,1,1,2,-,-,-,12,0,35.486160397445,27.335101003198204,12.733987011333248,3.2173996975644283,5.136898340781836,-,-,-,15.890461750334362
5390,La Pintada,-,4,4,-,-,-,-,-,-,4,0,130.4631441617743,93.89671361502347,0,0,0,-,-,-,47.28132387706856
5400,La Unión,-,1,1,-,-,-,-,-,-,1,0,12.682308180088777,9.047317470370036,0,0,0,-,-,-,4.466080121477379
5411,Liborina,1,1,2,-,-,-,-,-,-,2,65.48788474132286,27.307482250136534,38.54307188282906,0,0,0,-,-,-,19.821605550049554
5425,Maceo,-,3,3,-,1,1,-,-,-,4,0,107.10460549803642,73.117231294175,0,34.940600978336825,24.125452352231605,-,-,-,48.49660523763337
5440,Marinilla,-,7,7,-,-,-,-,-,-,7,0,29.52340784479123,20.968756552736423,0,0,0,-,-,-,10.310341272296114
5001,Medellín,21,315,336,1,30,31,-,1,1,368,7.276154309908737,34.79982368089335,28.14563018149743,0.3579572097951411,2.8294679657068484,2.3140666137666064,-,-,-,14.525795918882904
5475,Murindó,-,3,3,-,-,-,-,-,-,3,0,243.7043054427295,113.25028312570782,0,0,0,-,-,-,57.31753916698509
5480,Mutatá,-,7,7,-,1,1,-,-,-,8,0,166.98473282442748,96.07466373867692,0,24.06159769008662,14.078558355624384,-,-,-,55.598026270067415
5483,Nariño,-,1,1,-,-,-,-,-,-,1,0,29.342723004694836,19.67342120794806,0,0,0,-,-,-,10.053282396702523
5495,Nechí,-,8,8,-,2,2,-,-,-,10,0,95.29481834425253,56.74563767910342,0,25.833118057349523,15.087507543753771,-,-,-,36.55772464721796
5490,Necoclí,-,4,4,-,-,-,-,-,-,4,0,32.113037893384714,18.36800293888047,0,0,0,-,-,-,9.066594133913595
5501,Olaya,-,2,2,-,-,-,-,-,-,2,0,176.05633802816902,124.84394506866417,0,0,0,-,-,-,62.99212598425196
5541,Peñol,-,7,7,-,-,-,-,-,-,7,0,90.65009065009065,65.8080285794867,0,0,0,-,-,-,32.15581790619689
5543,Peque,-,2,2,-,-,-,-,-,-,2,0,71.78750897343862,45.72473708276177,0,0,0,-,-,-,24.140012070006033
5576,Pueblorrico,-,3,3,-,-,-,-,-,-,3,0,96.86793671294801,68.7757909215956,0,0,0,-,-,-,34.344590726960504
5579,Puerto Berrío,4,28,32,-,-,-,-,-,-,32,67.93478260869566,193.1434089811685,156.97817022320334,0,0,0,-,-,-,78.59897330091125
5585,Puerto Nare,-,2,2,-,-,-,-,-,-,2,0,39.61965134706815,27.72771384999307,0,0,0,-,-,-,13.850415512465375
5591,Puerto Triunfo,1,8,9,-,-,-,-,-,-,9,34.21142661648991,106.96617194812141,86.52182272639878,0,0,0,-,-,-,47.44333157617291
5604,Remedios,2,26,28,-,1,1,-,-,-,29,36.25815808556926,279.72027972027973,189.04868003510904,0,10.372368011617052,6.748549061951681,-,-,-,97.87707988794762
5607,Retiro,-,1,1,-,-,-,-,-,-,1,0,10.897994768962512,8.265829062654984,0,0,0,-,-,-,4.03926162297532
5615,Rionegro,-,16,16,1,2,3,-,-,-,19,0,29.89369056293556,22.822257406535726,6.4053292339226235,3.491863956980236,4.115903852486006,-,-,-,13.287177873352215
5628,Sabanalarga,-,3,3,-,-,-,-,-,-,3,0,94.48818897637796,61.766522544780734,0,0,0,-,-,-,32.33455486096141
5631,Sabaneta,-,1,1,-,-,-,-,-,-,1,0,3.082234003205523,2.4421217153462926,0,0,0,-,-,-,1.1366090405883087
5642,Salgar,2,14,16,1,2,3,-,-,-,19,76.65772326561901,213.41463414634148,174.50103609990185,38.02281368821293,30.950170225936244,32.99604047514298,-,-,-,104.04687585564864
5647,San Andrés de Cuerquía,-,4,4,-,-,-,-,-,-,4,0,165.01650165016503,107.09504685408301,0,0,0,-,-,-,54.93750858398572
5649,San Carlos,-,8,8,-,-,-,-,-,-,8,0,142.50089063056643,99.3418601763318,0,0,0,-,-,-,50.59768515590412
5652,San Francisco,-,4,4,-,-,-,-,-,-,4,0,211.864406779661,135.96193065941534,0,0,0,-,-,-,67.92324673119376
5656,San Jerónimo,-,3,3,-,-,-,-,-,-,3,0,51.95704883962591,38.04692454026633,0,0,0,-,-,-,18.73009926952613
5659,San Juan de Urabá,-,1,1,-,-,-,-,-,-,1,0,17.16738197424893,9.689922480620154,0,0,0,-,-,-,4.773269689737471
5660,San Luis,-,7,7,-,-,-,-,-,-,7,0,169.40948693126813,108.45986984815619,0,0,0,-,-,-,53.34146155604664
5664,San Pedro de los Milagros,1,7,8,-,1,1,-,-,-,9,30.75030750307503,89.90495761623426,72.47689798876608,0,11.583458820803893,8.440955516164431,-,-,-,39.32707013327507
5667,San Rafael,-,6,6,-,1,1,-,-,-,7,0,108.51871947911015,76.58922644881287,0,17.28907330567082,12.773023374632777,-,-,-,44.69131073229905
5670,San Roque,-,5,5,1,3,4,-,-,-,9,0,65.20605112154408,45.77497024626934,31.5357931251971,39.98400639744102,37.474236462432074,-,-,-,41.67245450757049
5674,San Vicente Ferrer,-,4,4,-,-,-,-,-,-,4,0,47.33167672464797,34.27298432010967,0,0,0,-,-,-,17.802305398549112
5679,Santa Bárbara,-,9,9,-,-,-,-,-,-,9,0,88.93280632411067,66.730926076963,0,0,0,-,-,-,33.10527477378062
5042,Santa Fé de Antioquia,-,6,6,-,1,1,-,-,-,7,0,62.98551333193366,44.76275738585497,0,10.06137438374082,7.354022650389763,-,-,-,25.92400562921265
5686,Santa Rosa de Osos,-,7,7,-,-,-,-,-,-,7,0,53.69745320650506,37.182619781153726,0,0,0,-,-,-,18.484776466238877
5690,Santo Domingo,-,4,4,-,-,-,-,-,-,4,0,85.19701810436634,62.676277029144465,0,0,0,-,-,-,32.45699448231094
5736,Segovia,3,51,54,-,2,2,-,-,-,56,43.6808386721025,398.7802017358668,274.7112987739737,0,15.078407720144751,10.140959334753067,-,-,-,142.2077757180223
5756,Sonsón,1,13,14,-,-,-,-,-,-,14,18.34862385321101,100.20812456640715,75.99196656353472,0,0,0,-,-,-,38.225255972696246
5761,Sopetrán,-,4,4,-,-,-,-,-,-,4,0,69.3721817551162,51.50656708730364,0,0,0,-,-,-,25.7864878803507
5789,Támesis,-,3,3,-,-,-,-,-,-,3,0,48.63813229571984,36.79175864606328,0,0,0,-,-,-,18.51737547064996
5790,Tarazá,3,59,62,-,5,5,-,-,-,67,52.863436123348016,721.9774840920215,447.7504152524013,0,57.44485294117647,35.34068419564603,-,-,-,239.32845150919806
5792,Tarso,-,3,3,-,-,-,-,-,-,3,0,132.5088339222615,96.46302250803858,0,0,0,-,-,-,48.146364949446316
5809,Titiribí,-,1,1,-,-,-,-,-,-,1,0,24.69745616201531,18.975332068311197,0,0,0,-,-,-,9.329228472805298
5819,Toledo,-,3,3,-,-,-,-,-,-,3,0,171.0376282782212,112.40164855751217,0,0,0,-,-,-,59.488399762046406
5837,Turbo,6,48,54,1,1,2,-,-,-,56,22.79981760145919,132.30794674605144,86.2688713156003,3.9257252777450637,2.373999952520001,2.958754955914551,-,-,-,43.01372598720342
5842,Uramita,-,5,5,-,-,-,-,-,-,5,0,216.16947686986597,140.92446448703495,0,0,0,-,-,-,72.47427163357008
5847,Urrao,2,26,28,1,2,3,-,-,-,31,37.32736095558044,259.5069368200419,182.09013461663523,19.23076923076923,19.41936110301971,19.356087489515453,-,-,-,100.4016064257028
5854,Valdivia,1,7,8,-,-,-,-,-,-,8,37.07823507601038,161.06764841233317,113.58795967627432,0,0,0,-,-,-,56.72954190894909
5856,Valparaíso,-,3,3,-,-,-,-,-,-,3,0,122.59910093992644,91.40767824497257,0,0,0,-,-,-,46.35352286773795
5858,Vegachí,1,4,5,1,-,1,-,-,-,6,50.05005005005005,100.90817356205852,83.86447500838644,56.561085972850684,0,16.45548790521639,-,-,-,49.838026414154
5861,Venecia,1,8,9,-,-,-,-,-,-,9,76.21951219512195,181.90086402910413,157.61821366024517,0,0,0,-,-,-,76.82458386683739
5885,Yalí,-,8,8,-,-,-,-,-,-,8,0,290.06526468455405,201.5621063240111,0,0,0,-,-,-,104.15310506444473
5887,Yarumal,4,33,37,-,1,1,-,-,-,38,60.53268765133172,233.18258903335217,178.22736030828517,0,6.501950585175552,4.562460078474313,-,-,-,89.03884905571958
5890,Yolombó,1,9,10,-,2,2,-,-,-,12,27.54820936639118,107.7070368597415,83.43066911396629,0,24.49479485609308,17.368649587494573,-,-,-,51.06165695076806
5893,Yondó,-,9,9,-,1,1,-,-,-,10,0,139.44840409048652,87.20930232558139,0,16.57550140891762,10.21450459652707,-,-,-,49.72650422675286
5895,Zaragoza,-,10,10,-,-,-,-,-,-,10,0,134.9345567399811,78.05182641273805,0,0,0,-,-,-,38.90596428432478
81,Arauca,3,84,87,-,9,9,-,-,-,96,5.775895263765884,87.79998327619366,58.93829769937403,0,9.315323707498836,6.139405432691651,-,-,-,32.63019788855428
81001,Arauca,-,23,23,-,2,2,-,-,-,25,0,70.75834487002,47.82003035532362,0,5.966943135031923,4.105343104049921,-,-,-,25.82271159129878
81065,Arauquita,-,12,12,-,1,1,-,-,-,13,0,65.27770222488168,40.99480732440558,0,5.884776084269993,3.7123658907821957,-,-,-,23.127968830614314
81220,Cravo Norte,-,1,1,-,-,-,-,-,-,1,0,68.63417982155113,46.25346901017576,0,0,0,-,-,-,24.137098720733768
81300,Fortul,-,7,7,-,1,1,-,-,-,8,0,112.01792286765883,69.62403023672171,0,15.928639694170117,9.906875371507827,-,-,-,39.70617431010522
81591,Puerto Rondón,-,1,1,-,-,-,-,-,-,1,0,58.78894767783657,39.33910306845004,0,0,0,-,-,-,20.329335230737954
81736,Saravena,2,24,26,-,4,4,-,-,-,30,18.38573267144696,120.090067550663,84.2432686388232,0,18.798759281887396,12.445163498335459,-,-,-,47.616024379404486
81794,Tame,1,16,17,-,1,1,-,-,-,18,10.834236186348862,103.95010395010395,69.04394443993176,0,6.4053292339226235,4.107282211360743,-,-,-,36.75794890645102
88,"Archipiélago de San Andrés, Providencia y Santa Catalina",1,36,37,1,-,1,-,-,-,38,11.54068090017311,163.09518416164545,120.37217776042684,11.961722488038278,0,3.034532985373551,-,-,-,59.66212397161338
88001,San Andrés,1,36,37,1,-,1,-,-,-,38,12.87001287001287,180.69567836169253,133.6077709168382,13.368983957219251,0,3.3624747814391394,-,-,-,66.1640520258388
8,Atlántico,16,477,493,6,32,38,-,-,-,531,3.8558583743219113,52.35814728994449,37.17987972723694,1.4954016399571317,3.2163648644302207,2.721786179342789,-,-,-,19.506797623036096
8078,Baranoa,-,2,2,-,1,1,-,-,-,3,0,8.65313892614546,5.978358342799067,0,4.225292601512654,2.976544826765091,-,-,-,4.47427293064877
8001,Barranquilla,12,274,286,4,15,19,-,-,-,305,6.684045184145445,63.55126313933962,46.83303857994367,2.2657369592677137,3.0799113806832064,2.863300028633,-,-,-,23.93564842063959
8137,Campo de la Cruz,-,1,1,-,-,-,-,-,-,1,0,13.180440226703572,8.491126772522714,0,0,0,-,-,-,4.24322145372767
8141,Candelaria,-,1,1,-,-,-,-,-,-,1,0,17.7999288002848,11.440338634023568,0,0,0,-,-,-,5.815644082582146
8296,Galapa,-,3,3,-,-,-,-,-,-,3,0,13.72369624885636,8.925649340989557,0,0,0,-,-,-,4.47620894943376
8372,Juan de Acosta,-,1,1,-,-,-,-,-,-,1,0,12.370113805047009,8.49689863199932,0,0,0,-,-,-,4.39521800281294
8421,Luruaco,-,3,3,-,-,-,-,-,-,3,0,30.469226081657528,19.846520243450648,0,0,0,-,-,-,9.896417496866134
8433,Malambo,1,28,29,-,2,2,-,-,-,31,4.264210481429363,61.1046854199856,41.86274792851575,0,4.221635883905013,2.845273999886189,-,-,-,22.2117134545663
8520,Palmar de Varela,-,2,2,-,-,-,-,-,-,2,0,18.64975755315181,12.855122766422419,0,0,0,-,-,-,6.443714156840002
8558,Polonuevo,-,3,3,-,-,-,-,-,-,3,0,44.91017964071856,30.376670716889425,0,0,0,-,-,-,15.349194167306216
8560,Ponedera,-,1,1,-,-,-,-,-,-,1,0,11.83011948420679,7.628346937218705,0,0,0,-,-,-,3.8868159203980097
8573,Puerto Colombia,-,9,9,-,1,1,-,-,-,10,0,49.30696323891963,34.478795540742446,0,4.981320049813201,3.6302911493501777,-,-,-,18.63967641521743
8606,Repelón,-,4,4,-,-,-,-,-,-,4,0,44.01892813909981,28.479886080455678,0,0,0,-,-,-,14.233862358550994
8634,Sabanagrande,-,2,2,-,-,-,-,-,-,2,0,16.836434043269637,11.452130096197893,0,0,0,-,-,-,5.700604264051989
8638,Sabanalarga,-,7,7,1,-,1,-,-,-,8,0,21.20633766548517,14.106930533443503,6.285750204286881,0,1.9830253034028715,-,-,-,7.99608191985927
